id,nombre,categoria
193,reposera niño,jardin
34,reposera aluminio 7 posiciones,jardin
35,reposera aluminio 5,jardin
36,reposera de niños,jardin
197,tobogan 4 escalones,infantil
12,modular pino,living
87,tobogan 5 escalones,infantil
18,quesera,cocina
388,toallero,ba?o
49,quesera,cocina
50,toallero,ba?o
48,quesera,cocina
51,"ventilador 3 en 1 20""",electrodomesticos
294,silla abby doble respaldo,dormitorio
3,despensero,cocina
92,porta micro alto,cocina
61,modular,living
194,reposera 5 posiciones madera,jardin
20,porta micro bajo,cocina
198,tobogan 6 escalones,infantil
86,tobogan 4 escalones,infantil
52,"ventilador de pie 20""",electrodomesticos
95,box,dormitorio
101,colchones super lujo,colchones
91,taburete,bancos
195,reposera 5 pociones aluminio,jardin
199,sube y baja,infantil
157,"ventilador 20""",electrodomesticos
119,colchon quantium,dormitorio
435,afeitadora r0050,cuidado personal
163,porta micro alto,cocina
164,porta micro bajo,cocina
165,modular,living
196,tobogan 3 escalones,infantil
53,"ventilador turbo 20""",electrodomesticos
185,toallero,ba?o
180,quesera,cocina
181,quesera,cocina
182,quesera,cocina
187,vestidor,dormitorio
183,toallero,ba?o
188,vestidor,dormitorio
200,ventilador turbo 20,electrodomesticos
184,toallero,ba?o
186,toallero,ba?o
169,taburete,bancos
162,despensero,cocina
322,toallero,ba?o
225,colcho palace con pillow,colchones
454,cortadora todo en 1,cortadora de cabello
222,colchon real,dormitorio
229,box,dormitorio
438,planchita antiestatica,planchitas
251,termotanque 55l,electrodomesticos
204,placard corredizo,dormitorio
250,termotanque 90l,electrodomesticos
285,parrilla chulengo,parrillas
252,lavarropa redondo,electrodomesticos
242,lavarropa semi automatico,electrodomesticos
253,secarropa 6kg,electrodomesticos
244,ventilador 20,electrodomesticos
243,ventilador 3 en 1 paleta de metal,electrodomesticos
320,toallero,ba?o
317,reposera,jardin
318,tobogan 4 escalones,infantil
327,quesera,cocina
337,respaldo con boton,dormitorio
339,respaldo con boton,dormitorio
340,respaldo con boton,dormitorio
328,quesera,cocina
326,quesera,cocina
321,taollero,ba?o
323,taollero,ba?o
316,reposeras 5 posiciones,sillas
293,sillas,comedor
335,sillla escandinava,sillas
341,microondas analogico,electrodomesticos
342,microondas digital,electrodomesticos
343,secarropa,electrodomesticos
344,secarropa,electrodomesticos
348,ventitador pie,electrodomesticos
347,ventilador turbo,electrodomesticos
346,ventilador 3 en 1,electrodomesticos
393,plancha,electrodomesticos
392,plancha blacksteam,electrodomesticos
382,tobogan 2 escalones,infantil
338,respaldo canelon,dormitorio
439,planchita botanicals,planchitas
353,placard macizo alto,dormitorio
359,modular,living
360,modular,living
380,porta micro alto,cocina
379,porta micro bajo,cocina
404,plancha y secador de pelo,electrodomesticos
391,plancha ironplus,electrodomesticos
386,batidora manual vuelty,electrodomesticos
390,baridora con bowl,electrodomesticos
394,batidora de mano,electrodomesticos
385,batidora manual optibat,electrodomesticos
398,lucuadora,electrodomesticos
396,lucuadora 2 en 1,electrodomesticos
399,mixer mas accesorios,electrodomesticos
387,multiprocesadora mega pros,electrodomesticos
395,panquequera electrica,electrodomesticos
397,pava electrica,electrodomesticos
401,secador de pelo botanicals,electrodomesticos
402,secador de pelo collagen y blotin,electrodomesticos
400,secador de pelo shine terapia,electrodomesticos
403,ssecador de pelo one,electrodomesticos
384,waflera electrica,electrodomesticos
355,parrilla,parrillas
450,placar dakar plus 8 puertas,muebles
424,motocierra naftera,maquinas
433,afeitadora r36a,cuidado personal
414,planchita botanicals,cuidado personal
413,planchita shine terapia,cuidado personal
474,combo 13,sillones
421,bordeadora electrica,herramientas
498,messa matera redonda,comedor
499,masa matera cuadrada,comedor
528,porta micro alto columna,cocina
529,porta bajo con cajon,cocina
538,plancha seca alizza,electrodomesticos
